"filename", "language", "JSON", "JSON with Comments", "XML", "SCSS", "CSS", "HTML", "TypeScript", "Vue", "comment", "blank", "total"
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/404.html", "HTML", 0, 0, 0, 0, 0, 51, 0, 0, 1, 7, 59
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/WEB-INF/web.xml", "XML", 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/account/account.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 87, 0, 0, 11, 98
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/account/activate/activate.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 37, 0, 0, 5, 42
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/account/activate/activate.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 10, 0, 0, 4, 14
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/account/activate/activate.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 17, 0, 2, 19
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/account/change-password/change-password.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 63, 0, 1, 5, 69
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/account/change-password/change-password.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 126, 0, 6, 132
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/account/login-form/login-form.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 43, 0, 0, 2, 45
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/account/login-form/login-form.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 64, 0, 2, 66
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/account/login.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 2, 8
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/account/register/register.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 77, 0, 1, 5, 83
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/account/register/register.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 2, 8
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/account/register/register.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 217, 0, 7, 224
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/account/reset-password/finish/reset-password-finish.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 61, 0, 1, 7, 69
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/account/reset-password/finish/reset-password-finish.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 107, 0, 7, 114
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/account/reset-password/init/reset-password-init.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 42, 0, 0, 5, 47
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/account/reset-password/init/reset-password-init.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 74, 0, 5, 79
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/account/settings/settings.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 58, 0, 0, 6, 64
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/account/settings/settings.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 163, 0, 5, 168
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/admin/configuration/configuration.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 42, 0, 0, 8, 50
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/admin/configuration/configuration.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 50, 0, 5, 6, 61
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/admin/configuration/configuration.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 58, 0, 3, 61
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/admin/docs/docs.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 2, 5
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/admin/docs/docs.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 13, 0, 2, 15
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/admin/health/health-modal.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 28, 0, 2, 6, 36
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/admin/health/health-modal.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 28, 0, 2, 30
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/admin/health/health.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 49, 0, 0, 8, 57
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/admin/health/health.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 112, 0, 2, 18, 132
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/admin/health/health.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 44, 0, 2, 46
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/admin/logs/logs.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 43, 0, 0, 7, 50
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/admin/logs/logs.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/admin/logs/logs.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 67, 0, 6, 73
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/admin/metrics/metrics-modal.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 45, 0, 0, 5, 50
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/admin/metrics/metrics-modal.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 66, 0, 2, 68
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/admin/metrics/metrics.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 110, 0, 0, 15, 125
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/admin/metrics/metrics.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 5, 18
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/admin/metrics/metrics.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 349, 0, 13, 362
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/admin/user-management/user-management-edit.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 110, 0, 0, 12, 122
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/admin/user-management/user-management-edit.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 156, 0, 7, 163
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/admin/user-management/user-management-view.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 22, 0, 0, 3, 25
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/admin/user-management/user-management-view.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 58, 0, 2, 60
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/admin/user-management/user-management.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 115, 0, 0, 15, 130
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/admin/user-management/user-management.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 22, 0, 0, 7, 29
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/admin/user-management/user-management.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 145, 0, 3, 148
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/app.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 4, 20
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/app.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 19, 0, 3, 22
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/constants.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 5, 3, 14
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/core/error/error.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 36, 0, 0, 9, 45
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/core/error/error.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 18, 0, 3, 21
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/core/home/home.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/core/home/home.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 73, 0, 5, 78
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/core/jhi-footer/jhi-footer.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 2, 5
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/core/jhi-footer/jhi-footer.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 8
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/core/jhi-navbar/jhi-navbar.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 57, 0, 0, 13, 70
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/core/jhi-navbar/jhi-navbar.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 260, 6, 19, 285
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/core/ribbon/ribbon.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/core/ribbon/ribbon.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 37, 3, 4, 44
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/airline-company/airline-company-details.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 6, 31
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/airline-company/airline-company-details.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 39, 0, 2, 41
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/airline-company/airline-company-update.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 86, 0, 0, 11, 97
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/airline-company/airline-company-update.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 90, 0, 1, 91
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/airline-company/airline-company.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 63, 0, 0, 14, 77
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/airline-company/airline-company.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 77, 0, 0, 9, 86
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/airline-company/airline-company.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 114, 0, 2, 116
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/airport/airport-details.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 6, 31
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/airport/airport-details.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 46, 0, 2, 48
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/airport/airport-update.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 92, 0, 0, 11, 103
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/airport/airport-update.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 114, 0, 1, 115
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/airport/airport.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 63, 0, 0, 14, 77
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/airport/airport.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 77, 0, 0, 9, 86
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/airport/airport.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 108, 0, 2, 110
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/car-rental-company/car-rental-company-details.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 6, 31
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/car-rental-company/car-rental-company-details.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 39, 0, 2, 41
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/car-rental-company/car-rental-company-update.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 86, 0, 0, 11, 97
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/car-rental-company/car-rental-company-update.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 90, 0, 1, 91
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/car-rental-company/car-rental-company.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 63, 0, 0, 14, 77
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/car-rental-company/car-rental-company.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 77, 0, 0, 9, 86
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/car-rental-company/car-rental-company.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 117, 0, 2, 119
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/car/car-details.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 6, 31
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/car/car-details.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 62, 0, 2, 64
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/car/car-update.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 107, 0, 0, 14, 121
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/car/car-update.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 162, 0, 1, 163
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/car/car.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 63, 0, 0, 14, 77
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/car/car.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 77, 0, 0, 9, 86
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/car/car.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 110, 0, 2, 112
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/flight/flight-details.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 6, 31
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/flight/flight-details.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 78, 0, 2, 80
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/flight/flight-update.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 150, 0, 0, 20, 170
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/flight/flight-update.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 211, 0, 1, 212
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/flight/flight.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 63, 0, 0, 14, 77
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/flight/flight.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 77, 0, 0, 9, 86
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/flight/flight.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 127, 0, 2, 129
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/hotel-company/hotel-company-details.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 6, 31
